realSum,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,room_type_Private room,room_type_Shared room
0.4155966007039439,0.5,False,0.0,1.0,1.0,0.8875,0.16666666666666666,0.12172391051346483,0.15337288762723233,0.49995478660423287,False,False
0.19268396044224734,0.0,True,1.0,0.0,1.0,0.8500000000000001,0.16666666666666666,0.1983688478864019,0.027575796771720253,0.3553811313606332,True,False
0.18235264390969064,0.5,False,0.0,1.0,0.875,0.8500000000000001,0.16666666666666666,0.18862462516289694,0.016722858764083155,0.37633375301222727,True,False
0.36039707916672026,0.25,False,0.0,1.0,1.0,0.8875,0.16666666666666666,0.16530848309052748,0.019898347493317776,0.42013416690102146,False,False
0.22464655223625163,0.25,False,1.0,0.0,0.875,0.8875,0.16666666666666666,0.21078040213772833,0.0644522428360423,0.37799078851015233,True,False
0.3373652176169438,0.25,False,0.0,1.0,0.875,1.0,0.3333333333333333,0.29584835757317834,0.1709579468387987,0.4135442924968207,False,False
0.1527327886607558,0.25,False,0.0,1.0,0.875,0.825,0.16666666666666666,0.18596672824626764,0.01898428079932486,0.3750840316112287,True,False
0.19709067998233032,0.0,False,0.0,0.0,0.875,0.9500000000000002,0.16666666666666666,0.16511458884598404,0.14344482432920855,0.45329377955444183,True,False
0.2543119233276806,0.5,False,1.0,0.0,0.875,0.8,0.16666666666666666,0.10383470129596592,0.08522855289393749,0.6186933823837848,True,False
0.16654509119764926,0.0,False,1.0,0.0,0.875,0.8875,0.16666666666666666,0.2064857366615959,0.06770978203463048,0.3904445527902576,True,False
0.2218090196175725,0.0,False,1.0,0.0,0.875,0.8,0.16666666666666666,0.10970654489153758,0.08908482932340353,0.5021845906093247,True,False
0.21787913240949408,0.0,True,1.0,0.0,1.0,0.9750000000000001,0.16666666666666666,0.25373786614636934,0.09016704596094267,0.5329549173674826,True,False
0.37164839339344924,0.0,False,1.0,0.0,0.875,0.8875,0.16666666666666666,0.17411587712468707,0.13985370430594107,0.41581165179694346,True,False
0.27519771860536413,0.0,True,0.0,0.0,1.0,0.9375,0.16666666666666666,0.07727194154466663,0.06386148170669702,0.5213428217307341,True,False
0.14511497704022547,0.25,False,0.0,1.0,0.875,0.8,0.16666666666666666,0.190739907346012,0.02224066509837055,0.3748956591731958,True,False
0.1138054726374812,0.0,False,1.0,0.0,0.75,0.8,0.16666666666666666,0.2972685021634578,0.00931379120662755,0.32660103438316845,True,False
0.16654509119764926,0.0,False,1.0,0.0,0.75,0.8375000000000001,0.16666666666666666,0.01850617144353632,0.0595670378543403,0.5253019011819238,True,False
0.5867478967794045,1.0,True,0.0,0.0,1.0,0.9875,0.5,0.21476785792594152,0.030992344336972275,0.7707299770234757,False,False
0.4155966007039439,0.5,False,0.0,1.0,1.0,0.8875,0.16666666666666666,0.13173776666495385,0.1408098236110684,0.49233371265775383,False,False
0.3996628308902873,0.5,False,0.0,1.0,0.875,0.9000000000000001,0.16666666666666666,0.18235512830028675,0.14437963328994755,0.4615485120797762,False,False
0.10062878017869592,0.0,False,0.0,1.0,0.875,0.875,0.16666666666666666,0.18843633051486552,0.07304695887348264,0.7002809397149363,True,False
0.497738988109829,0.5,True,0.0,1.0,1.0,0.9750000000000001,0.3333333333333333,0.116465855841405,0.19142211595863964,0.5153601440154612,False,False
0.1527327886607558,0.0,False,1.0,0.0,0.75,0.8625,0.16666666666666666,0.2011162160085259,0.10592193645531241,0.38668207164419144,True,False
0.20731685231026986,0.0,False,1.0,0.0,0.875,0.8625,0.16666666666666666,0.09556772571199317,0.056762389608790945,0.6574722319106889,True,False
0.21787913240949408,0.0,False,1.0,0.0,0.875,0.9125000000000001,0.16666666666666666,0.14926412657114546,0.09665794489958292,0.450406430282267,True,False
