person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,room_type_Private room,room_type_Shared room,realSum
0.25,False,1.0,0.0,0.875,1.0,0.125,0.45988980560132064,0.17658368575967728,0.2597813084584979,False,False,0.28239833003520975
0.75,False,0.0,1.0,0.875,0.9125000000000001,0.125,0.4291233121758069,0.06245883941719646,0.31402016853112635,False,False,0.29727123237862674
1.0,False,0.0,1.0,1.0,1.0,0.25,0.07372646065500033,0.04718887890787235,0.7398415936035412,False,False,0.4352143594927004
0.25,False,0.0,0.0,1.0,0.9500000000000002,0.0,0.2800563256473657,0.1163295239301493,0.4206900892896843,False,False,0.27914297563061585
1.0,False,0.0,1.0,0.875,1.0,0.375,0.1291482928151121,0.02874984793813035,0.6707543575276023,False,False,0.4481688395224911
0.0,True,1.0,0.0,0.875,0.9500000000000002,0.125,0.5622372032782815,0.04062071478749644,0.16712668281553156,True,False,0.11241183227452445
0.5,False,0.0,1.0,0.5,0.5,0.25,0.2197694249233274,0.01650429992907509,0.4518819710159936,False,False,0.4379843160484983
0.0,False,1.0,0.0,1.0,1.0,0.125,0.23502448315371377,0.12416502076914324,0.4475113137981668,True,False,0.24977625633037193
0.0,False,1.0,0.0,1.0,0.9625000000000001,0.125,0.29125338516946636,0.11106650815923926,0.37422881909331984,True,False,0.2239920000991058
0.75,False,0.0,0.0,1.0,0.9375,0.25,0.2543202498897812,0.08250558631804107,0.5491015029094706,False,False,0.3628824450656146
0.0,False,0.0,1.0,1.0,1.0,0.125,0.14864464485037654,0.04914707807172331,0.5703012503982312,False,False,0.3172868642569945
0.0,False,0.0,0.0,0.875,0.925,0.125,0.4788909173977915,0.19424764716674553,0.30159303507986346,True,False,0.1697294568213059
0.0,False,1.0,0.0,0.5,0.5,0.125,0.21399385789705117,0.09935241966441553,0.5572308226452833,True,False,0.23536098458677301
0.0,False,0.0,0.0,1.0,1.0,0.125,0.5235978350073046,0.07027169584999098,0.1933685890711636,True,False,0.2451000824035493
0.5,True,1.0,0.0,1.0,0.9625000000000001,0.125,0.5720483593402393,0.12295877293208769,0.22495671225949576,True,False,0.26532028250539186
0.5,False,0.0,0.0,1.0,1.0,0.25,0.20510034502444588,0.054737697010396644,0.49798122636688036,False,False,0.4428389430247196
0.5,False,1.0,0.0,1.0,1.0,0.125,0.2965675723566809,0.035099266846656096,0.36979397911695,False,False,0.36664837470196254
0.0,True,1.0,0.0,1.0,0.9875,0.125,0.14802567475510167,0.03333505993028969,0.5874587346887621,True,False,0.20076125436348202
0.0,False,0.0,1.0,0.875,0.8625,0.125,0.2208431122683148,0.018881058114654833,0.5735348129364191,True,False,0.30214751313210064
0.75,False,1.0,0.0,0.75,0.8875,0.25,0.21829421902313792,0.050339036671129614,0.5050662429482993,False,False,0.33999747799441093
0.0,False,0.0,1.0,1.0,1.0,0.125,0.2944102215794428,0.08722801831678424,0.39698636794337805,True,False,0.2343570186517372
0.0,False,1.0,0.0,0.875,0.875,0.125,0.38444854696939856,0.031371315385404386,0.32903635503046447,True,False,0.2761452949547163
0.5,False,0.0,0.0,0.75,0.8375000000000001,0.25,0.07640972449250721,0.05009603086865445,0.6941074120482669,False,False,0.4921501375044469
0.0,False,0.0,1.0,0.875,0.9000000000000001,0.0,0.26127241970563186,0.04325519660829625,0.4937442434642494,False,False,0.3655942564375413
1.0,False,0.0,0.0,1.0,1.0,0.375,0.09655623417819734,0.03047646019203362,0.7258331226869621,False,False,0.8772271121896443
0.5,False,0.0,0.0,0.875,0.9125000000000001,0.125,0.24946826408243553,0.013409563724744784,0.42552816961599205,False,False,0.3820149411524326
0.5,False,0.0,0.0,0.875,0.8500000000000001,0.25,0.4185344353301898,0.10173398073659866,0.2717432274150078,False,False,0.41201230543707534
0.0,True,0.0,0.0,0.875,0.9125000000000001,0.125,0.36636731992069854,0.017884550695869462,0.34496607578754634,False,False,0.3591345627500212
0.0,False,0.0,1.0,0.625,0.5625,0.125,0.21593305466138846,0.019710613559143643,0.6564733759580528,True,False,0.2550506038158944
0.0,False,0.0,0.0,1.0,1.0,0.125,0.4614280450556348,0.3399724080651463,0.2846014566290873,True,False,0.16562468127914087
0.0,False,0.0,0.0,0.75,0.8875,0.125,0.3847369378796457,0.04344289726976555,0.32568651663355475,True,False,0.2954253601423583
0.0,True,0.0,0.0,0.875,0.8875,0.125,0.19162020813632594,0.010823020446714862,0.5308621833842222,True,False,0.24146190808888657
0.0,True,0.0,0.0,1.0,0.9750000000000001,0.125,0.16685523513394027,0.05392133040985404,0.6736910459168417,True,False,0.2863477466931945
0.0,False,1.0,0.0,0.875,0.925,0.0,0.31643028964551173,0.060242393333578295,0.36868800070189556,True,False,0.19781696967121776
0.0,True,1.0,0.0,1.0,0.9875,0.125,0.348122821656618,0.02241709956430416,0.3726030087442942,True,False,0.25859884600537375
0.5,False,1.0,0.0,0.5,0.8375000000000001,0.125,0.2679446252389464,0.11456450663768884,0.40767389567376155,True,False,0.19781696967121776
0.25,False,0.0,0.0,0.75,0.7000000000000001,0.0,0.1747217377193438,0.11429484367373023,0.5335103035286533,False,False,0.3786537803145139
0.25,False,0.0,1.0,1.0,0.9750000000000001,0.125,0.011154656893665472,0.026244715648371414,0.920180809940538,False,False,0.37748913682025453
0.25,False,0.0,1.0,0.5,0.25,0.0,0.16976066320172634,0.03671673252981153,0.594035455185848,False,False,0.3531539361672976
0.0,True,1.0,0.0,1.0,1.0,0.125,0.32083031141101653,0.03787225050340123,0.39177791819486374,True,False,0.20245646069050482
0.0,True,0.0,1.0,0.875,0.8375000000000001,0.125,0.25246206501403906,0.052466327495999394,0.5250358978607546,True,False,0.1839274901469682
0.25,False,0.0,1.0,1.0,0.9500000000000002,0.125,0.1473169861153926,0.01239928474265624,0.6691214421938492,False,False,0.357431904366342
0.0,False,0.0,0.0,1.0,0.925,0.125,0.20578210496634022,0.029261781636364986,0.5889426867169916,True,False,0.19756939318629507
0.0,False,1.0,0.0,0.875,0.9625000000000001,0.125,0.43248385382967053,0.3367948929483641,0.2658870592050926,True,False,0.19707320155702213
0.0,False,0.0,0.0,0.5,0.5,0.25,0.4742400534726168,0.08498425487823467,0.2864019975694789,True,False,0.4327299755426929
0.0,False,1.0,0.0,1.0,1.0,0.125,0.49795325610862273,0.03304181195203237,0.21111249310865432,True,False,0.23596064893911328
0.0,False,0.0,1.0,1.0,0.9625000000000001,0.125,0.26100681330089126,0.046204613294735596,0.4562664302610009,False,False,0.37070996541347856
0.0,True,0.0,0.0,1.0,0.9875,0.125,0.9639577435394883,0.6369933220917489,0.01321779874056861,False,False,0.11201104130645712
0.5,False,0.0,1.0,0.75,0.7250000000000001,0.125,0.30063776818180227,0.02592545516608585,0.4141997055561919,True,False,0.1968245844728419
1.0,False,0.0,1.0,0.5,0.6125,0.25,0.11200901721547905,0.050262695768736654,0.6648508014812711,False,False,0.38262721781504616
0.0,False,0.0,0.0,0.875,0.9125000000000001,0.125,0.15750391854717158,0.04410487441965622,0.5696755766591195,True,False,0.2118444582293666
0.25,False,0.0,0.0,1.0,0.9750000000000001,0.125,0.3207450013028133,0.11246281201710989,0.3798968749195626,False,False,0.3627848239922139
0.0,False,0.0,0.0,1.0,1.0,0.125,0.45165426895696614,0.29995245343968235,0.24912968280829562,True,False,0.3064915205604598
0.0,False,0.0,0.0,1.0,0.9375,0.125,0.1933429600002166,0.06817807947433273,0.48973480886913534,True,False,0.175152567339807
0.5,False,0.0,1.0,0.625,0.7250000000000001,0.125,0.0408435445811583,0.02636900427685168,0.8551974274778473,True,False,0.2745469902200719
0.5,True,0.0,0.0,1.0,0.9875,0.125,0.21151072996834835,0.05665521417466106,0.5346107764085559,True,False,0.31602048495499047
0.5,False,0.0,1.0,1.0,1.0,0.125,0.4462135314905506,0.14303162686577267,0.24785818579810703,False,False,0.2737424067449248
0.5,True,0.0,0.0,1.0,0.925,0.25,0.2713386931842553,0.05354418167396046,0.39109779121098964,False,False,0.3727525860768989
0.0,True,0.0,0.0,0.875,0.9625000000000001,0.125,0.6637912694376781,0.8048488753402036,0.1279645701245311,True,False,0.07363878386911371
0.0,False,0.0,1.0,0.625,0.6625000000000001,0.125,0.18550750764170215,0.026519139299307787,0.5478811104167187,False,False,0.30145905203355305
0.75,False,0.0,1.0,1.0,1.0,0.125,0.4860907310326584,0.10352633695706256,0.26245169466490603,False,False,0.3639527472687668
0.0,False,0.0,0.0,1.0,1.0,0.125,0.5280799785200151,0.0763339478827651,0.18776049170605869,True,False,0.2252682452146565
0.0,False,0.0,0.0,1.0,1.0,0.125,0.1469734261737011,0.04674505932850827,0.5733737923640094,True,False,0.2743863651066005
0.0,False,0.0,1.0,1.0,1.0,0.125,0.2647303487199919,0.02989385559667031,0.4625791979160001,False,False,0.4485305841940205
0.0,False,1.0,0.0,0.875,0.875,0.125,0.8780263219414544,0.4552304059454787,0.046185331016397546,True,False,0.0870647645210545
0.0,False,1.0,0.0,1.0,0.9750000000000001,0.125,0.10684479927649705,0.034616818877907636,0.6765318849798319,True,False,0.3686435582637858
0.0,True,0.0,0.0,1.0,0.9625000000000001,0.0,0.46814548650721377,0.1519100311473657,0.25825879969689836,False,False,0.24146190808888657
0.0,False,0.0,0.0,1.0,1.0,0.125,0.3286608526788297,0.07524202902443203,0.3535309263391526,True,False,0.15174828993494538
0.0,False,0.0,0.0,0.875,1.0,0.125,0.20895497245414946,0.026123679060885936,0.5058968156536301,False,False,0.29384832955464446
0.0,False,0.0,1.0,1.0,0.8875,0.125,0.23266228703963612,0.09355391548631783,0.46084016111346515,False,False,0.29138319459034745
0.5,True,1.0,0.0,1.0,0.9750000000000001,0.25,0.35739021701700674,0.18113869286194,0.3198631220267183,False,False,0.39567011126395346
0.0,False,0.0,0.0,0.875,0.9500000000000002,0.125,0.20373276359245468,0.07125040068182106,0.4956203271070547,True,False,0.22463127001525063
0.5,False,0.0,0.0,1.0,0.9500000000000002,0.25,0.35920215523237675,0.2808534242121169,0.32353986645693733,False,False,0.41783506095781375
0.0,False,0.0,0.0,0.875,0.9625000000000001,0.125,0.48564495983148637,0.04633527820343521,0.2239048086610249,True,False,0.30716076756480104
0.0,False,0.0,1.0,0.75,0.7625,0.125,0.4216129432266129,0.07645772998890127,0.31822925179752737,True,False,0.12365765771466408
0.0,True,1.0,0.0,1.0,0.9625000000000001,0.125,0.11249215682377518,0.08787671989852464,0.6533208920271716,True,False,0.22335041887289453
0.5,False,0.0,1.0,0.75,0.625,0.125,0.18325228009137223,0.06446778557754138,0.5878655996089126,False,False,0.4011815707069014
0.5,False,0.0,0.0,0.875,0.8875,0.25,0.36656262345374974,0.05575076481204546,0.31132871959011577,False,False,0.3273437640392046
0.5,True,0.0,0.0,1.0,0.9625000000000001,0.125,0.26207833004119196,0.12398686549314347,0.40455379707494066,True,False,0.16856632059829957
0.0,False,0.0,0.0,1.0,1.0,0.125,0.37271421702955937,0.12819406837761488,0.3521998006351086,True,False,0.1839274901469682
0.0,True,1.0,0.0,1.0,0.9625000000000001,0.125,0.4414833337073772,0.03261390540430965,0.2437764384800829,True,False,0.18710935290994468
0.5,False,0.0,1.0,0.875,0.875,0.125,0.08063627488858771,0.052706879250049056,0.7908146657603679,False,False,0.4444486252384613
0.0,False,0.0,0.0,1.0,1.0,0.0,0.4511328649438467,0.2939618812864064,0.23953249871852944,True,False,0.23455826676495228
0.0,False,0.0,0.0,1.0,0.6625000000000001,0.125,0.8200535925549863,0.5671513610311966,0.07297764826028352,True,False,0.16081421295707443
0.0,False,0.0,0.0,0.875,0.9750000000000001,0.125,0.7800050448610433,0.4784404295064452,0.09223009563502305,True,False,0.2022152776035211
0.0,False,1.0,0.0,0.625,0.75,0.125,0.42549048840426773,0.3044270648334156,0.27378514298109646,True,False,0.05583965655484102
0.5,False,0.0,1.0,0.875,0.8625,0.125,0.12163487294627683,0.04765900412735293,0.6243304363362685,True,False,0.23212809351563968
0.0,False,0.0,0.0,0.5,0.0,0.125,0.373075206339043,0.1416355033612385,0.2965600182067005,True,False,0.15174828993494538
0.0,False,0.0,1.0,1.0,1.0,0.125,0.29844327161956713,0.0705973075877757,0.45044240288332404,True,False,0.26532028250539186
0.0,False,0.0,0.0,0.875,0.9000000000000001,0.125,0.31156078795701747,0.26443050588489947,0.3755656074391567,True,False,0.11281172005477969
0.0,False,0.0,0.0,1.0,0.9625000000000001,0.125,0.561972762900412,0.0371896975114882,0.16736876756539765,True,False,0.5661103499923198
0.0,False,1.0,0.0,1.0,0.9625000000000001,0.125,0.3251196576332151,0.12144395052652282,0.408045270543407,True,False,0.16503045611886513
0.5,True,0.0,1.0,1.0,0.9375,0.125,0.1857213703386886,0.0905420242429581,0.5122583592460872,False,False,0.36750620172755555
0.25,False,1.0,0.0,0.875,0.75,0.125,0.20918102478629738,0.11566462628664567,0.5522680982164778,False,False,0.3450326538877585
0.5,False,0.0,1.0,0.75,0.7750000000000001,0.125,0.34978968048143083,0.03960620777029906,0.3701551670791865,True,False,0.17904509321601503
0.5,False,0.0,0.0,0.875,0.9500000000000002,0.125,0.42696573945879274,0.11369753365200169,0.3027415620656686,False,False,0.2649817170498764
0.0,False,0.0,0.0,0.875,0.9375,0.125,0.27986382867966153,0.23039315180662073,0.39861203487541585,True,False,0.2237783973272004
0.0,False,0.0,0.0,0.75,0.8875,0.125,0.4861574882481397,0.07058848813139895,0.21820962646445108,False,False,0.2550506038158944
