person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,day,room_type_Private room,room_type_Shared room,realSum
0.0,False,1.0,0.0,1.0,0.9375,0.1666666666666666,0.5723304946025061,0.2181206420199999,0.1472809275142035,1.0,True,False,0.0866037749051459
0.0,False,0.0,0.0,1.0,1.0,0.125,0.2729289362467393,0.0659061101169399,0.4566742095932963,0.0,True,False,0.3268661841772992
0.0,False,0.0,0.0,0.875,0.9500000000000002,0.1666666666666666,0.090303438963271,0.0854073994160849,0.5964486049562752,0.0,True,False,0.2307121946775668
0.0,False,0.0,0.0,1.0,1.0,0.125,0.3402835856788554,0.2533657564247505,0.3412394156105873,1.0,True,False,0.2256916286185208
0.25,False,1.0,0.0,0.875,0.8125,0.1666666666666666,0.1345982917088294,0.0378353397338466,0.459656229853129,0.0,False,False,0.3605344981575084
0.0,False,0.0,1.0,0.0,0.25,0.0,0.2393508440912615,0.0335266367012527,0.5617231630786901,0.0,False,False,0.2548713155495374
0.25,False,1.0,0.0,0.75,0.8,0.125,0.1133870204279689,0.0352181199662524,0.6587810278912474,0.0,True,False,0.3708966328440727
0.5,False,0.0,1.0,0.875,0.8375000000000001,0.125,0.4584606085817573,0.4296481773731692,0.2601427913141971,0.0,True,False,0.1836597415055153
0.0,True,0.0,0.0,1.0,0.925,0.1666666666666666,0.251418523937028,0.0608967870782767,0.5647047129495684,0.0,True,False,0.1491384508511061
0.75,False,0.0,1.0,0.875,0.925,0.25,0.2522693740495459,0.0272063247336044,0.4613117316739905,1.0,False,False,0.395913333323466
0.0,False,0.0,1.0,1.0,1.0,0.125,0.1390311001559283,0.0347993850716418,0.5920357449009503,0.0,True,False,0.195325522442986
0.0,False,0.0,0.0,1.0,0.975,0.125,0.4663644891194318,0.0619906596359061,0.2261460753187583,0.0,True,False,0.1978169696712177
0.5,False,0.0,1.0,0.75,0.675,0.1666666666666666,0.2203051471403168,0.1978503083520861,0.3713204430204624,0.0,False,False,0.4108503689631494
0.5,False,0.0,1.0,1.0,1.0,0.125,0.3340164742195973,0.2299158099985492,0.3456306747274638,1.0,False,False,0.2912371146400297
0.5,False,0.0,0.0,1.0,0.8375000000000001,0.25,0.319150368408567,0.0967326967593329,0.3734660578111248,0.0,False,False,0.4211688995422605
0.0,False,0.0,1.0,1.0,0.925,0.125,0.0675790088814585,0.0441573558347917,0.836338321564376,1.0,False,False,0.449551540777071
0.25,True,0.0,1.0,1.0,0.975,0.125,0.11860129802482,0.0075076838092454,0.6428758165648776,0.0,True,False,0.2990981010678267
0.0,False,0.0,0.0,1.0,0.925,0.125,0.2651795256476363,0.0381831827833661,0.4756085940004324,0.0,False,False,0.415818758039031
0.75,False,0.0,0.0,1.0,0.975,0.25,0.5686198491128737,0.5152054443912437,0.1672891769858,1.0,False,False,0.3573312373967369
0.0,False,0.0,0.0,1.0,1.0,0.125,0.4326217749851256,0.058681029365448,0.2853671063705385,0.0,True,False,0.1270076295043291
0.0,False,1.0,0.0,1.0,1.0,0.125,0.3197652062976532,0.0333140873585424,0.3983941120838334,1.0,True,False,0.24088057908739
0.5,False,0.0,0.0,1.0,1.0,0.25,0.230504894371393,0.0595590825048291,0.6584450519556166,0.0,False,False,0.4056855398251106
0.0,False,0.0,0.0,0.0,0.5,0.1666666666666666,0.2599694903154121,0.0930016558905892,0.3272075227115929,0.0,True,False,0.2114400734862546
0.5,False,0.0,1.0,0.875,0.75,0.125,0.2053084471869502,0.0965806629029254,0.5289475413354623,0.0,False,False,0.4921972347902902
0.0,False,1.0,0.0,0.625,0.8500000000000001,0.1666666666666666,0.1104699628530051,0.0550971515051881,0.5944679117155134,1.0,True,False,0.1006287801786959
0.0,False,0.0,1.0,0.75,0.7250000000000001,0.125,0.1912237985439805,0.0176885406526407,0.5275605422091216,0.0,True,False,0.2041356256633543
0.0,False,1.0,0.0,1.0,0.9375,0.125,0.2692068479958091,0.0772323741058027,0.3951298732576045,1.0,True,False,0.2280023512592059
0.5,True,0.0,1.0,1.0,1.0,0.1666666666666666,0.1155427173288054,0.0446138439265242,0.5297068735740549,1.0,False,False,0.4134520286673712
0.5,False,0.0,1.0,1.0,0.8875,0.125,0.2424466943114883,0.0529480199923802,0.5233023718738485,0.0,True,False,0.3138466793870843
0.0,False,0.0,1.0,0.875,0.8375000000000001,0.125,0.3133461646219267,0.0414045097747371,0.3509324893135501,0.0,True,False,0.1650304561188651
0.25,False,0.0,1.0,1.0,1.0,0.125,0.2996400248138823,0.0869564176148978,0.4422101928157997,1.0,True,False,0.5958294537876384
0.0,False,1.0,0.0,0.875,0.7750000000000001,0.1666666666666666,0.1297556522589834,0.0881863888422927,0.5619010313991859,1.0,True,False,0.2531907060215251
0.0,False,0.0,1.0,0.875,0.8375000000000001,0.125,0.2398619663667675,0.0594035076018635,0.528690190526478,0.0,True,False,0.2043742145179328
0.5,False,0.0,1.0,1.0,1.0,0.1666666666666666,0.4704938849199855,0.0775645005512008,0.2928138869192875,0.0,True,False,0.0822140077148795
0.0,False,0.0,0.0,0.875,0.8375000000000001,0.1666666666666666,0.1090172778846483,0.0905101327791945,0.503934867490528,1.0,True,False,0.1678793655368896
0.0,False,0.0,0.0,1.0,1.0,0.125,0.230646022502006,0.1906967838853733,0.4527585157310243,0.0,True,False,0.2343570186517372
0.0,False,0.0,0.0,1.0,1.0,0.25,0.5605888808187401,0.1661910023167462,0.2391453864857322,0.0,True,False,0.289622247908352
0.0,False,0.0,1.0,0.875,0.925,0.0,0.115497812656682,0.0440687399380141,0.6282283874902936,1.0,False,False,0.3078275000186014
0.0,False,1.0,0.0,0.75,0.75,0.1666666666666666,0.247279443420874,0.1998894733866011,0.4480039144536045,0.0,True,False,0.1597483545208627
0.25,False,1.0,0.0,0.75,0.875,0.125,0.5658333338196645,0.5159145914725066,0.169630524676108,0.0,False,False,0.2737424067449248
0.5,False,0.0,1.0,0.875,0.875,0.125,0.1061197621773924,0.0227843030473542,0.6670373580692468,0.0,False,False,0.387705577095336
