realSum,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,room_type_Private room,room_type_Shared room
0.29513966780329415,0.0,False,0.0,1.0,1.0,0.9500000000000002,0.125,0.13488705757669053,0.010333015888450774,0.6198319787698807,True,False
0.21613554699622606,0.0,False,0.0,0.0,0.875,0.8875,0.125,0.17519391256123298,0.07001726867642714,0.532697458013949,True,False
0.2541523455280844,0.0,True,1.0,0.0,1.0,0.9750000000000001,0.125,0.40065973970906493,0.08756226600227883,0.31149058377431893,False,False
0.19781696967121776,0.0,False,0.0,0.0,1.0,0.9750000000000001,0.125,0.32616975373354795,0.053994006552394155,0.3383702591092219,True,False
0.2235645371255457,0.0,False,0.0,0.0,1.0,0.9625000000000001,0.125,0.5343372856620401,0.1884395447922187,0.27760577117619123,True,False
0.28903136084746694,0.5,False,0.0,0.0,1.0,1.0,0.125,0.31152289049155607,0.13750535828298652,0.3548699249815319,False,False
0.13101797407266458,0.0,False,1.0,0.0,0.875,1.0,0.0,0.8341956419288008,0.6712190497698327,0.06651113600825909,True,False
0.4746392265654057,1.0,False,0.0,1.0,0.875,0.75,0.25,0.19401753738437022,0.07945523447837824,0.5069773238595054,False,False
0.6421198707901165,1.0,True,0.0,1.0,1.0,1.0,0.375,0.11068650130956993,0.030747627571456642,0.6694156230197734,False,False
0.12884175632601236,0.0,False,1.0,0.0,0.75,0.7875000000000001,0.125,0.6179761762211209,0.2740557003466068,0.19173301378380092,True,False
0.20603541428460392,0.25,False,0.0,1.0,0.75,0.8,0.125,0.26090012113305394,0.07339004049232563,0.5174962559638998,True,False
0.17959426306389814,0.0,True,0.0,0.0,1.0,0.9875,0.125,0.4615450553257723,0.12057511193315822,0.24748564280395424,True,False
0.16562468127914087,0.0,False,0.0,0.0,1.0,1.0,0.125,0.5701058331739464,0.20375337856742734,0.23507716147673352,True,False
0.14253229716796056,0.0,False,0.0,0.0,1.0,0.9875,0.125,0.45070341325451796,0.09363624761279393,0.24657799691544935,True,False
0.4498507076244561,0.5,False,0.0,1.0,1.0,0.8375000000000001,0.125,0.09740291973064705,0.017146645725701123,0.6695213563881732,False,False
0.27341954910668875,0.0,False,1.0,0.0,0.875,0.875,0.125,0.1210021341710551,0.02768574813717271,0.6367271965764152,True,False
0.3618056480981925,0.25,False,0.0,1.0,1.0,0.9375,0.125,0.2690528597801478,0.013181357305954754,0.47745606792522155,False,False
0.30214751313210064,1.0,True,1.0,0.0,1.0,0.9875,0.25,0.344751363495569,0.10774641511551633,0.3218320647027364,True,False
0.34481667859013754,0.5,False,0.0,0.0,1.0,0.9875,0.125,0.44038061678575663,0.17153051138843997,0.2528899553672994,False,False
0.38522759243435745,0.0,False,0.0,0.0,0.875,0.9000000000000001,0.125,0.12496922056362274,0.05428662741095451,0.629055048482666,False,False
0.2252682452146565,0.0,False,0.0,0.0,1.0,1.0,0.125,0.8000011502954743,0.5094025420953262,0.08232069485474103,True,False
0.5697976129902579,1.0,True,0.0,1.0,1.0,1.0,0.25,0.2593159914038223,0.04077999054329957,0.49865712918925564,False,False
0.061795817342488846,0.0,False,0.0,0.0,1.0,0.8375000000000001,0.125,0.6100010245881473,0.5401126155312915,0.17456753995625385,True,False
0.2983976832608183,0.0,False,1.0,0.0,1.0,0.9750000000000001,0.125,0.3260524936739013,0.06932901368620474,0.3371858765931055,False,False
0.2445305696606629,0.0,False,0.0,1.0,0.75,0.75,0.125,0.24137842170943574,0.040828556087500245,0.4778491810695167,True,False
0.26276515465118755,0.0,False,0.0,0.0,1.0,1.0,0.125,0.567410424795785,0.0516201188777578,0.1641535562453882,False,False
0.20485043200541464,0.0,False,0.0,1.0,0.75,0.8375000000000001,0.125,0.22913426793634623,0.11287812328829495,0.4591080715855296,True,False
0.26916805342900985,0.25,False,0.0,0.0,1.0,0.875,0.125,0.39219652268244737,0.17919394901814992,0.3092827797029427,False,False
0.38401882477587324,0.75,True,1.0,0.0,1.0,0.9750000000000001,0.25,0.25051661766357675,0.02712178231744025,0.5112926027848883,False,False
0.41208628177858386,0.0,True,0.0,1.0,1.0,1.0,0.125,0.22762822101677987,0.015477284448439465,0.587229971374529,False,False
0.1514272581382603,0.0,False,1.0,0.0,1.0,1.0,0.125,0.6303575684613806,0.4129064021572134,0.17655231538562255,True,False
0.1759938981343364,0.0,False,0.0,1.0,0.75,0.7875000000000001,0.125,0.3457767632893155,0.018735179282451164,0.3719418846427951,True,False
0.2343570186517372,0.0,False,0.0,0.0,1.0,1.0,0.125,0.24400663473772916,0.17631995934819084,0.45426781751927603,True,False
0.21680370139973126,0.0,True,0.0,0.0,1.0,0.9875,0.125,0.4532680297360862,0.10048295830306495,0.2681312303529646,True,False
