person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,day,room_type_Private room,room_type_Shared room,realSum
0.0,False,0.0,1.0,1.0,1.0,0.125,0.3429334199008064,0.036361971667189,0.3651067258871359,1.0,False,False,0.2397121763990986
0.0,False,0.0,0.0,1.0,1.0,0.125,0.4995655334885877,0.0942651539971235,0.2154862466470934,0.0,True,False,0.2870972751670433
0.5,False,1.0,0.0,1.0,0.9125,0.125,0.4259260467199481,0.0480057963252349,0.2851376996412893,0.0,False,False,0.3744065076042361
0.0,True,0.0,0.0,1.0,0.9625,0.1666666666666666,0.2525925154337746,0.0669883931972603,0.5640792610354006,0.0,True,False,0.2596148954320164
0.5,False,1.0,0.0,0.875,0.8875,0.3333333333333333,0.4065549761604536,0.0471995624703883,0.2528554297870602,1.0,False,False,0.3873844537640306
0.0,False,1.0,0.0,0.875,0.8875,0.125,0.2165960389554117,0.0826565841703738,0.4682363139235235,0.0,True,False,0.2823983300352097
0.0,False,0.0,1.0,0.625,0.7375,0.1666666666666666,0.5046856220835683,0.2927810197012201,0.2598263140649146,0.0,True,False,0.2509308151822028
0.0,False,1.0,0.0,1.0,1.0,0.125,0.2350259686614126,0.12416844086411,0.4475097553703497,1.0,True,False,0.2492215785068724
0.0,True,0.0,1.0,1.0,1.0,0.1666666666666666,0.170673133279189,0.0310226521997775,0.4150264384359476,1.0,True,False,0.2086999458571831
0.0,False,0.0,1.0,1.0,0.9500000000000002,0.125,0.2302817629956026,0.0753050154065254,0.5000984784803095,0.0,True,False,0.2508804374664776
0.0,False,0.0,0.0,0.875,0.9375,0.125,0.2735539721158479,0.0843063428639952,0.492687931316043,0.0,True,False,0.2086148516525736
0.0,False,0.0,0.0,1.0,0.975,0.125,0.5382812030653624,0.0729259144160996,0.1866338024319227,0.0,True,False,0.144881554641672
0.5,False,0.0,1.0,0.875,0.875,0.125,0.2865445778215354,0.0238578072231649,0.4514106384333503,1.0,False,False,0.4086510417126029
